Filename	Path	Whistle Date	Time numbers	Time (UTC)	Time (EST)	Date and time (EST)	Event ID	Survey #	Sighting #	Sighting Start Time (EST)	Sighting End Time (EST)	Dolphin IDs	Camera?	Notes (VS)
_2018-06-22T113219_sel.04.19.29.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	113219	11:32:19 AM	3:32:19 PM									
_2018-06-22T113222_sel.05.22.53.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113222	11:32:22 AM	3:32:22 PM									
_2018-06-22T113222_sel.05.22.53.W_S_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Sinusoidal_Verified\no matches yet\Interval\	6/22/2018	113222	11:32:22 AM	3:32:22 PM									
_2018-06-22T113227_sel.06.27.14.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113227	11:32:27 AM	3:32:27 PM									
_2018-06-22T113227_sel.06.27.14.W_MW_S_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Sin\	6/22/2018	113227	11:32:27 AM	3:32:27 PM									
_2018-06-22T113229_sel.07.29.82.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113229	11:32:29 AM	3:32:29 PM									
_2018-06-22T113229_sel.07.29.82.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	113229	11:32:29 AM	3:32:29 PM									
_2018-06-22T113314_sel.10.14.66.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113314	11:33:14 AM	3:33:14 PM									
_2018-06-22T113314_sel.10.14.66.W_S_LSS_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Sinusoidal_Verified\no matches yet\	6/22/2018	113314	11:33:14 AM	3:33:14 PM									
_2018-06-22T113319_sel.11.19.74.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113319	11:33:19 AM	3:33:19 PM									
_2018-06-22T113319_sel.11.19.74.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\possible matches\Backwards L 1\	6/22/2018	113319	11:33:19 AM	3:33:19 PM									
_2018-06-22T113840_sel.14.40.25.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113840	11:38:40 AM	3:38:40 PM									
_2018-06-22T113840_sel.14.40.25.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	113840	11:38:40 AM	3:38:40 PM									
_2018-06-22T113850_sel.10.50.71.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113850	11:38:50 AM	3:38:50 PM									
_2018-06-22T113850_sel.10.50.71.W_MW_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\MultipleWhistles_Verified\Have been duplicated-Can be sorted\Revisit\	6/22/2018	113850	11:38:50 AM	3:38:50 PM									
_2018-06-22T113853_sel.11.53.81.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	113853	11:38:53 AM	3:38:53 PM									
_2018-06-22T113853_sel.11.53.81.W_U_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\U_Verified\V\	6/22/2018	113853	11:38:53 AM	3:38:53 PM									
_2018-06-22T115833_sel.06.33.35.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	115833	11:58:33 AM	3:58:33 PM									
_2018-06-22T115833_sel.06.33.35.W_UP_LKM_verified.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Upsweep_Verified\no matches yet\	6/22/2018	115833	11:58:33 AM	3:58:33 PM									
_2018-06-22T115913_sel.07.13.84.W.tif	F:\1.Research\Whistle Categorization (P1 and P2)_8-27\Phase 2 uncategorized whistles\	6/22/2018	115913	11:59:13 AM	3:59:13 PM									
